"filename", "language", "TypeScript", "JSON with Comments", "TypeScript JSX", "Prisma", "SCSS", "YAML", "SQL", "XML", "Markdown", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\antho\Desktop\nextjs-social-app\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 17, 47
"c:\Users\antho\Desktop\nextjs-social-app\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\antho\Desktop\nextjs-social-app\next.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 5
"c:\Users\antho\Desktop\nextjs-social-app\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3916, 0, 0, 1, 3917
"c:\Users\antho\Desktop\nextjs-social-app\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 1, 48
"c:\Users\antho\Desktop\nextjs-social-app\public\static\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\antho\Desktop\nextjs-social-app\public\static\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\antho\Desktop\nextjs-social-app\src\app\@auth\default.tsx", "TypeScript JSX", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\antho\Desktop\nextjs-social-app\src\app\@auth\layout.tsx", "TypeScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\antho\Desktop\nextjs-social-app\src\app\@auth\login\error.tsx", "TypeScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 31
"c:\Users\antho\Desktop\nextjs-social-app\src\app\@auth\login\page.module.scss", "SCSS", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\antho\Desktop\nextjs-social-app\src\app\@auth\login\page.tsx", "TypeScript JSX", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 58
"c:\Users\antho\Desktop\nextjs-social-app\src\app\@auth\logout\page.module.scss", "SCSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\antho\Desktop\nextjs-social-app\src\app\@auth\logout\page.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\antho\Desktop\nextjs-social-app\src\app\@auth\signup\page.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\antho\Desktop\nextjs-social-app\src\app\@auth\signup\page.tsx", "TypeScript JSX", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\antho\Desktop\nextjs-social-app\src\app\@settings\default.tsx", "TypeScript JSX", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\antho\Desktop\nextjs-social-app\src\app\@settings\layout.tsx", "TypeScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\antho\Desktop\nextjs-social-app\src\app\@settings\profile\page.module.scss", "SCSS", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 17, 114
"c:\Users\antho\Desktop\nextjs-social-app\src\app\@settings\profile\page.tsx", "TypeScript JSX", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 83
"c:\Users\antho\Desktop\nextjs-social-app\src\app\[username]\layout.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\antho\Desktop\nextjs-social-app\src\app\[username]\page.module.scss", "SCSS", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 11, 51
"c:\Users\antho\Desktop\nextjs-social-app\src\app\[username]\page.tsx", "TypeScript JSX", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
