Date : 2023-11-17 14:22:01
Directory : c:\Users\antho\Desktop\nextjs-social-app
Total : 156 files,  9373 codes, 258 comments, 919 blanks, all 10550 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |      3,963 |          0 |          2 |      3,965 |
| TypeScript JSX     |         64 |      2,386 |         28 |        300 |      2,714 |
| SCSS               |         55 |      1,601 |         12 |        340 |      1,953 |
| TypeScript         |         24 |        955 |         86 |        114 |      1,155 |
| SQL                |          4 |        241 |        127 |        116 |        484 |
| Prisma             |          1 |        154 |          2 |         26 |        182 |
| Markdown           |          1 |         30 |          0 |         17 |         47 |
| JSON with Comments |          1 |         25 |          2 |          1 |         28 |
| YAML               |          1 |         14 |          0 |          1 |         15 |
| XML                |          2 |          2 |          0 |          0 |          2 |
| JavaScript         |          1 |          2 |          1 |          2 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                |        156 |      9,373 |        258 |        919 |     10,550 |
| . (Files)                                                                                                                        |          6 |      4,034 |          3 |         23 |      4,060 |
| public                                                                                                                           |          2 |          2 |          0 |          0 |          2 |
| public\static                                                                                                                    |          2 |          2 |          0 |          0 |          2 |
| src                                                                                                                              |        148 |      5,337 |        255 |        896 |      6,488 |
| src (Files)                                                                                                                      |          1 |         67 |          0 |          5 |         72 |
| src\app                                                                                                                          |         53 |      1,564 |         60 |        260 |      1,884 |
| src\app (Files)                                                                                                                  |          3 |         68 |          0 |         12 |         80 |
| src\app\@auth                                                                                                                    |          9 |        168 |          2 |         26 |        196 |
| src\app\@auth (Files)                                                                                                            |          2 |         15 |          0 |          4 |         19 |
| src\app\@auth\login                                                                                                              |          3 |        104 |          2 |         14 |        120 |
| src\app\@auth\logout                                                                                                             |          2 |         23 |          0 |          5 |         28 |
| src\app\@auth\signup                                                                                                             |          2 |         26 |          0 |          3 |         29 |
| src\app\@settings                                                                                                                |          4 |        189 |          0 |         27 |        216 |
| src\app\@settings (Files)                                                                                                        |          2 |         15 |          0 |          4 |         19 |
| src\app\@settings\profile                                                                                                        |          2 |        174 |          0 |         23 |        197 |
| src\app\[username]                                                                                                               |          3 |         94 |          0 |         18 |        112 |
| src\app\api                                                                                                                      |         16 |        473 |         58 |         73 |        604 |
| src\app\api\auth                                                                                                                 |          3 |        119 |         39 |         19 |        177 |
| src\app\api\auth\[...nextauth]                                                                                                   |          3 |        119 |         39 |         19 |        177 |
| src\app\api\graphql                                                                                                              |         13 |        354 |         19 |         54 |        427 |
| src\app\api\graphql (Files)                                                                                                      |          4 |         50 |         10 |         23 |         83 |
| src\app\api\graphql\types                                                                                                        |          9 |        304 |          9 |         31 |        344 |
| src\app\chats                                                                                                                    |          3 |         76 |          0 |         16 |         92 |
| src\app\discover                                                                                                                 |          3 |         90 |          0 |         15 |        105 |
| src\app\home                                                                                                                     |          3 |         94 |          0 |         17 |        111 |
| src\app\me                                                                                                                       |          3 |        126 |          0 |         22 |        148 |
| src\app\moments                                                                                                                  |          3 |         97 |          0 |         17 |        114 |
| src\app\notifications                                                                                                            |          3 |         89 |          0 |         17 |        106 |
| src\components                                                                                                                   |         20 |        702 |         10 |        102 |        814 |
| src\hooks                                                                                                                        |          1 |         57 |          5 |          9 |         71 |
| src\layout                                                                                                                       |         16 |        957 |          2 |         97 |      1,056 |
| src\lib                                                                                                                          |          3 |         47 |         14 |         14 |         75 |
| src\prisma                                                                                                                       |          8 |        738 |        152 |        155 |      1,045 |
| src\prisma (Files)                                                                                                               |          4 |        497 |         25 |         39 |        561 |
| src\prisma\migrations                                                                                                            |          4 |        241 |        127 |        116 |        484 |
| src\prisma\migrations\20230918010756_init                                                                                        |          1 |         87 |         30 |         37 |        154 |
| src\prisma\migrations\20231104030831_adding_user_account_post_and_session                                                        |          1 |         58 |         33 |         29 |        120 |
