"filename", "language", "TypeScript", "JSON with Comments", "Prisma", "SCSS", "TypeScript JSX", "GraphQL", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\antho\Desktop\nextjs-social-app\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 5
"c:\Users\antho\Desktop\nextjs-social-app\next-auth.d.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 3, 2, 13
"c:\Users\antho\Desktop\nextjs-social-app\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 60
"c:\Users\antho\Desktop\nextjs-social-app\package.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\antho\Desktop\nextjs-social-app\schema.graphql", "GraphQL", 0, 0, 0, 0, 0, 147, 0, 0, 0, 17, 164
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(chat)\chats\@chatdetail\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(chat)\chats\@chatlist\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(chat)\chats\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 4, 26
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(chat)\chats\page.module.scss", "SCSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(chat)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 6, 33
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(chat)\page.module.scss", "SCSS", 0, 0, 0, 21, 0, 0, 0, 0, 0, 7, 28
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(discover)\discover\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(discover)\discover\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(discover)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 57, 0, 0, 0, 0, 9, 66
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(discover)\page.module.scss", "SCSS", 0, 0, 0, 44, 0, 0, 0, 0, 0, 9, 53
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\home\@draft\DraftLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 71, 0, 0, 0, 0, 10, 81
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\home\@draft\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 9
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\home\@draft\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 0, 4, 10
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\home\@timeline\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\home\@timeline\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 9
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\home\@timeline\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\home\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\home\page.module.scss", "SCSS", 0, 0, 0, 28, 0, 0, 0, 0, 0, 8, 36
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 56, 0, 0, 0, 0, 9, 65
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\me\@profile\error.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 1, 4, 15
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\me\@profile\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\me\@profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\me\@timeline\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
